id,sample_reason,category,contract,clause_text,target,rubric_aggregate,rubric_structure_ok,rubric_groundedness,rubric_length_ok,rubric_no_contradiction,reviewer_verdict,reviewer_notes
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT__License Grant_0",random,License Grant,"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","(b) the marketing, promoting, distributing, reselling, or provision of the Installed Software or the Subscription Software Services, directly or through Allscripts Resellers or Partnering Organizations, in accordance with the terms and conditions of this Agreement;

(c) enabling Allscripts products and services to interface or otherwise integrate, interact, or interoperate with the Installed Software and the Subscription Software Services , including performing any integration or interface development efforts with respect to the Installed Software, Subscription Software Services or any integrated product with any Allscripts products and services, or internally testing, evaluating, and performing validation and verification with respect to the Installed Software, Subscription Software Services or any integrated product with any Allscripts products and services (it being understood that the foregoing activities will not affect the Company's representations and warranties in Section 21);

(d) reselling Subscriptions (through multiple levels of sublicensees) to (i) Sublicensed Customers pursuant to Customer Agreements in accordance with this Agreement and (ii) Allscripts' Affiliates or to Allscripts Resellers or Partnering Organizations (subject to Sections 2.4 and 2.5) to carry out any of the purposes set forth in this Agreement;

(e) creating backups and other copies of the Installed Software solely to the extent necessary to perform its obligations hereunder in the ordinary course of business;

(f) managing, operating, and hosting (i) any Installed Software, (ii) the Allscripts products that will interface with the Installed Software or Subscription Software Services on behalf of Sublicensed Customers and (iii) authorizing its Sublicensed Customers, Allscripts Resellers or Partnering Organizations to do the same;

(g) generating, printing, copying, downloading, and storing all Data and other displays and output, as may result from any execution or other use of the Subscription Software Services and authorizing its Sublicensed Customers, Allscripts Resellers or Partnering Organizations to do the same; and

(h) all other purposes reasonably necessary to carry out any of the foregoing.","Issue: Scope of License Grant in the Contract

Rule: The License Grant in the contract is a broad authorization that allows the licensee to perform various activities related to the use and distribution of the software, subject to the terms and conditions of the agreement. These activities include marketing, distributing, and reselling the software, as well as integrating it with other software products.

Application: The clause specifically permits the licensee to market and distribute the software, resell subscriptions, create backups, manage and host the software, and generate and store data outputs. These activities are subject to the terms of the agreement and do not affect the company's warranties. The licensee is also authorized to allow sublicensees to perform these activities, provided they are in line with the agreement's terms.

Conclusion: The License Grant is comprehensive, allowing the licensee to engage in a wide range of activities with the software, including marketing, distributing, and reselling it, as well as integrating it with other products, all while adhering to the agreement's terms and conditions.",1.0,1.0,1.0,1.0,1.0,minor_issue,"Application is an accurate summary of a long enumerated grant, but the Rule section restates the clause instead of stating a rule of law. Structurally IRAC, substantively R is empty."
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement__Anti-Assignment_0,low_rubric_score,Anti-Assignment,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,transferable or assignable.,"Issue: The clause's effect on the transferability and assignability of rights under the contract.

Rule: Generally, contract law distinguishes between transferable and assignable rights. A transferable right can be assigned to a third party without the obligor's consent, whereas an assignable right requires the obligor's consent for assignment.

Application: The clause states ""transferable or assignable,"" which is ambiguous. It suggests that the rights under the contract may be transferred or assigned, but it does not specify whether both types of transfer are allowed or if one is intended over the other. This ambiguity could lead to disputes over the validity of a transfer or assignment without the obligor's consent.

Conclusion: The clause's ambiguity regarding the transferability and assignability of rights under the contract could result in legal uncertainty and potential disputes.",0.75,1.0,0.0,1.0,1.0,bad,Clause text is the two-word fragment 'transferable or assignable.' - unusable. Target fabricates a doctrinal distinction (transferable = assignable without consent; assignable = requires consent) that does not exist. Drop the row.
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Minimum Commitment_0,random,Minimum Commitment,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,"Reseller acknowledges that meeting the Quotas is an           essential element of this Agreement and that this Agreement may be           terminated by TouchStar if, in TouchStar's reasonable opinion,           Reseller will not meet the Quotas during the Term or any extension           thereof.","Issue: The enforceability and implications of a minimum commitment clause in a contract.

Rule: In contract law, a minimum commitment clause obligates one party to meet specified performance standards. Failure to meet these standards can lead to the termination of the agreement by the other party, provided that the non-breaching party acts in good faith and has a reasonable basis for terminating the contract.

Application: The clause requires the Reseller to meet certain Quotas, which are deemed essential to the Agreement. TouchStar, as the non-breaching party, has the discretion to terminate the Agreement if it reasonably believes the Reseller will fail to meet these Quotas during the Term or any extension. This discretion is subject to TouchStar's reasonable opinion, indicating that the termination is conditional on the Reseller's performance.

Conclusion: The clause effectively imposes a minimum performance requirement on the Reseller and grants TouchStar the right to terminate the Agreement if the Reseller is expected to fail in meeting these requirements, based on TouchStar's reasonable judgment.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly ties the Quotas to the termination right and flags that it is gated on TouchStar's reasonable opinion.
MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Anti-Assignment_0,random,Anti-Assignment,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT,"This Agreement may not be assigned by any party without the written consent of the other parties, except to a subsidiary or controlled affiliate of such party which succeeds such party's conduct of Covered Businesses.","Issue: The scope of permissible assignments under the anti-assignment clause.

Rule: An anti-assignment clause restricts the ability of a party to transfer its rights or obligations under a contract without the consent of the other parties. However, the clause may allow for certain limited assignments, such as to a subsidiary or affiliate, provided the assignee continues the same business activities.

Application: The clause in question prohibits any assignment without the written consent of the other parties, with a specific exception allowing for assignments to a subsidiary or controlled affiliate that continues the party's conduct of Covered Businesses. This exception is limited to the party's own subsidiaries or affiliates and requires that the assignee maintain the same business activities as the original party.

Conclusion: The clause effectively restricts general assignment but allows for a narrow exception that preserves the continuity of the party's business operations through its subsidiaries or affiliates.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly identifies the consent requirement and the narrow subsidiary/controlled-affiliate exception with its continuity condition.
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement__Anti-Assignment_0,random,Anti-Assignment,ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,"The Parties agree that the license grant contained in this Section 11.3 is personal to Supplier only and shall be exercised by Supplier only,","Issue: The clause restricts the ability of the Supplier to transfer or assign its rights under the license grant.

Rule: In contract law, a personal service or license grant is typically not freely assignable without the consent of the other party. This is to ensure that the quality of performance and specific terms of the agreement are maintained.

Application: The clause explicitly states that the license grant is ""personal to Supplier only"" and must be ""exercised by Supplier only."" This language indicates that the Supplier cannot transfer or assign its rights under this license without the other party's consent, aligning with the general rule that personal service or license grants are not freely assignable.

Conclusion: The clause effectively prevents the Supplier from assigning its license rights, ensuring that the Supplier must perform any obligations related to the license personally.",0.875,1.0,0.5,1.0,1.0,minor_issue,"Reading is right - the grant is personal to Supplier - but Application adds 'without the other party's consent', importing a consent mechanism the fragment does not contain. Small unsupported gloss."
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Minimum Commitment_0",random,Minimum Commitment,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT","In the event the Holding Company is unable to sell a minimum of 17,850,000 Shares within the period herein provided, this Agreement shall terminate and the Holding Company shall refund to any persons who have subscribed for any of the Shares the full amount which it may have received from them plus accrued interest, as set forth in the Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder, except as set forth in this Section 2 and in Sections 7, 9 and 10 hereof. In the event the Offering is terminated for any reason not attributable to the action or inaction of the Agent, the Agent shall be paid the fees due to the date of such termination pursuant to subparagraphs (a) and (e) below.","Issue: Minimum Commitment Clause in Share Offering Agreement

Rule: Minimum commitment clauses in share offering agreements ensure that the issuer meets a specified sales target to validate the transaction. Failure to meet this target typically results in the termination of the agreement and a refund obligation.

Application: The clause requires the Holding Company to sell a minimum of 17,850,000 Shares within the specified period. If this target is not met, the Agreement terminates, and the Holding Company must refund the subscribers the full amount plus interest. The clause also specifies that the Agent is entitled to the fees due up to the termination date if the Offering is terminated for reasons not attributable to the Agent.

Conclusion: The clause effectively outlines the consequences of not meeting the minimum sales target, including termination of the Agreement and a refund obligation, while also ensuring the Agent is compensated for services rendered up to the termination date.",1.0,1.0,1.0,1.0,1.0,good,"Accurate on the minimum-sale condition, termination, refund-with-interest obligation, and the Agent fee carve-out."
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement__Ip Ownership Assignment_1,low_rubric_score,Ip Ownership Assignment,AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,"To the extent that any such ACSI Derivative Works or Company Derivative Works are not ""works made for hire"", Company hereby assigns and agrees to assign to ACSI (or such of its Affiliates as it may designate) all right, title and interest to all ACSI Derivative Works and all associated Intellectual Property Rights, and ACSI hereby assigns and agrees to assign to Company (or such of its Affiliates as it may designate) all right, title and interest in and to all Company Derivative Works and all associated Intellectual Property Rights. Each Party shall take, at the other Party's expense, any actions (including, without limitation, execution and delivery of affidavits and other documents) reasonably requested by such other Party to effect, perfect or confirm its or its designee's ownership rights as set forth in this Section 6.1.3  [Ownership].","Issue: Assignment of Intellectual Property Rights in Derivative Works

Rule: Under contract law, parties can assign their rights and obligations to each other. Intellectual property rights, including those in derivative works, can be assigned through clear and unambiguous language in a contract.

Application: The clause assigns all right, title, and interest in ACSI Derivative Works and associated Intellectual Property Rights to ACSI, and all right, title, and interest in Company Derivative Works and associated Intellectual Property Rights to the Company. Both parties agree to assign their respective rights to the other party, subject to the condition that the works are not ""works made for hire."" The parties also agree to take actions, at the other party's expense, to effect, perfect, or confirm these assignments.

Conclusion: The clause effectively assigns intellectual property rights in derivative works between the parties, subject to the ""work made for hire"" condition, and obligates both parties to cooperate in confirming these assignments.",0.75,1.0,0.0,1.0,1.0,good,"Accurate. Correctly captures the reciprocal present-and-future assignments, the not-WMFH condition precedent, and the further-assurances obligation."
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1__Rofr/Rofo/Rofn_4,random,Rofr/Rofo/Rofn,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,"We have the right, exercisable within thirty (30) days after receipt of the notice specified in Section 14.2 [No Transfer without Our Prior Written Consent], to send written notice to you that we intend to purchase the interest proposed to be Transferred.","Issue: The nature and scope of the Right of First Refusal (ROFR) in the contract.

Rule: A Right of First Refusal (ROFR) is a contractual provision that gives the existing party the right to match any third-party offer to purchase a specific asset or interest before the seller can accept a sale to a third party. The ROFR must be exercised within a specified time frame, typically after receiving notice of the third-party offer.

Application: The clause specifies that the party has the right to purchase the interest proposed to be transferred within thirty (30) days after receiving a notice. This aligns with the general principle of ROFR, where the existing party is given the opportunity to match a third-party offer. The requirement to send a written notice to the other party within the specified time frame ensures that the existing party is informed and can decide whether to exercise this right.

Conclusion: The clause effectively establishes a ROFR, allowing the party to purchase the proposed interest within the given time frame after receiving notice of a third-party offer.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Correctly identifies the 30-day exercise window and the notice trigger.
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT__Liquidated Damages_0,low_rubric_score,Liquidated Damages,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"You specifically acknowledge that our designated representative may take over, control, and operate the Franchised Restaurant, and that you will pay us a service fee of not less than TWO HUNDRED Dollars ($200) per day plus all travel expenses, room and board and other expenses reasonably incurred by such representative so long as it shall be required by the representative to enforce compliance herewith.","Issue: The applicability and enforceability of liquidated damages for service fees and related expenses in a franchise agreement.

Rule: Liquidated damages clauses are generally enforceable if they are a reasonable estimate of damages and not a penalty. The clause must be clear, specific, and not excessively punitive.

Application: The clause requires the franchisee to pay a service fee of at least $200 per day plus additional expenses for a representative to enforce compliance. This fee is not explicitly stated as a penalty but rather as a service fee, which could be interpreted as a reasonable estimate of the representative's costs. The inclusion of ""travel expenses, room and board, and other expenses reasonably incurred"" suggests that the fee is intended to cover the representative's actual costs, making it more likely to be seen as a reasonable estimate rather than a penalty.

Conclusion: The clause appears to be a liquidated damages provision that is designed to cover the costs incurred by the franchisor's representative to enforce compliance with the franchise agreement. Given the specific and reasonable nature of the fee and the inclusion of actual expenses, it is likely enforceable under general contract law principles.",0.75,1.0,0.0,1.0,1.0,minor_issue,"Strained fit. The $200/day plus actual expenses is cost reimbursement for a franchisor takeover, not a pre-estimate of loss; target concedes the expenses are actual costs yet still calls it a reasonable estimate of damages. Those two things cannot both be true of the same charge."
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Minimum Commitment_1,low_rubric_score,Minimum Commitment,BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,If the Minimum Efficiency Level has,"Issue: Minimum Commitment Clauses in Contracts

Rule: Minimum commitment clauses are enforceable agreements that require one party to fulfill a minimum level of service or performance over a specified period.

Application: The clause text suggests a requirement for a ""Minimum Efficiency Level,"" which implies a performance standard that must be met. The use of ""If"" suggests a conditional trigger for the commitment, possibly related to achieving a certain level of efficiency.

Conclusion: The clause requires the party to ensure that a minimum efficiency level is met, subject to a specific condition.",0.75,1.0,0.0,1.0,1.0,bad,"Clause is truncated mid-sentence ('If the Minimum Efficiency Level has') with no operative content. Target generates a full IRAC anyway, inferring a performance obligation that is not in the text. Drop the row."
ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT__Uncapped Liability_0,random,Uncapped Liability,ACCURAYINC_09_01_2010-EX-10.31-DISTRIBUTOR AGREEMENT,"WITHOUT AFFECTING STRICT PRODUCT LIABILITY UNDER MANDATORY APPLICABLE LAW,  SECTION 10, OR THE RESPECTIVE OBLIGATIONS OF THE PARTIES UNDER THE CONFIDENTIAILITY AGREEMENT AND  EXCEPT FOR BREACHES ASSOCIATED WITH THE UNAUTHORIZED USE OF INTELLECTUAL PROPERTY, IN NO EVENT  SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INCIDENTAL, CONSEQUENTIAL, PUNITIVE OR  TORT DAMAGES, INCLUDING WITHOUT LIMITATION, ANY DAMAGES RESULTING FROM LOSS OF USE, LOSS OF DATA,  LOSS OF PROFITS OR LOSS OF BUSINESS ARISING OUT OF OR IN CONNECTION WITH THE MATTERS CONTEMPLATED  BY THIS AGREEMENT, WHETHER OR NOT A PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.","Issue: The scope and limitations of liability in a contract with an uncapped liability clause.

Rule: Contract law generally allows parties to limit or exclude liability for certain types of damages, provided such limitations are clear and unambiguous. Courts typically enforce such clauses unless they are found to be unconscionable or against public policy.

Application: The clause limits liability to the extent that it excludes special, incidental, consequential, punitive, and tort damages, except for those arising from unauthorized use of intellectual property. It specifically excludes damages such as loss of use, data, profits, or business. The clause also acknowledges the existence of product liability and confidentiality obligations, indicating that these may not be subject to the same limitations.

Conclusion: The clause effectively limits the liability of the parties to this agreement, excluding certain types of damages, but retains product liability and confidentiality obligations.",1.0,1.0,1.0,1.0,1.0,good,"Accurate. Correctly reads the exclusion of indirect/consequential damages and the carve-outs for strict product liability, confidentiality, and IP misuse."
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Third Party Beneficiary_0,low_rubric_score,Third Party Beneficiary,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,"Except as expressly provided in Section 8, this Agreement does not create any intended third party beneficiary rights.","Issue: The effect of a clause that limits third party beneficiary rights in a contract.

Rule: Generally, a contract may be structured to limit or deny third party beneficiary rights, unless the contract explicitly provides for such rights. Courts will interpret such clauses to honor the parties' intent to exclude third party beneficiaries unless the contract language is ambiguous or the exclusion is unreasonably broad.

Application: The clause explicitly limits third party beneficiary rights by stating that the agreement does not create any intended third party beneficiary rights ""except as expressly provided in Section 8."" This means that any third party beneficiary rights must be specifically outlined in Section 8, and otherwise, no third party has rights under this agreement.

Conclusion: The clause effectively limits third party beneficiary rights to those specifically mentioned in Section 8, thereby ensuring that the agreement's benefits are not extended to unintended third parties without explicit agreement.",0.75,1.0,0.0,1.0,1.0,good,Accurate and appropriately scoped to the Section 8 exception.
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1__License Grant_6,random,License Grant,PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,"Client holds certain customer data relating to the Playboy Commerce Business (""Existing  Customer Data"") and hereby grants to EFS a non-exclusive, limited, non-sublicensable, non-transferable, revocable license to  store and use such Existing Customer Data solely for purposes of the operation and promotion of the Playboy Commerce","Issue: The nature and scope of the license granted by the client to EFS for the use of existing customer data.

Rule: In contract law, a license is a grant of permission to use intellectual property or other assets, subject to certain limitations. Licenses can be exclusive or non-exclusive, and can include restrictions on sub-licensing, transfer, and revocability.

Application: The client grants EFS a non-exclusive, limited, and revocable license to store and use the Existing Customer Data. This license is non-sublicensable and non-transferable, indicating that EFS cannot further grant this permission to third parties or transfer this right to another entity. The license is specifically for the operation and promotion of the Playboy Commerce Business, limiting its scope to these purposes only.

Conclusion: The client retains significant control over the use of the Existing Customer Data, as the license is revocable and non-transferable, and is limited to specific operations and promotions related to Playboy Commerce.",1.0,1.0,1.0,1.0,1.0,good,"Accurate. Enumerates each license limitation (non-exclusive, limited, non-sublicensable, non-transferable, revocable) and the purpose restriction."
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT__Rofr/Rofo/Rofn_7,random,Rofr/Rofo/Rofn,INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,The  election by BKC not to exercise its right of first  refusal as to any offer shall not affect its right of first refusal as to any subsequent offer.,"Issue: The interpretation of a right of first refusal (RoFR) clause in a contract.

Rule: In contract law, a right of first refusal (RoFR) is a contractual provision that gives a party the right to match any third-party offer to purchase a specific asset or interest. The clause in question pertains to the non-forfeiture of the RoFR after a party declines an initial offer.

Application: BKC's decision not to exercise its RoFR on a particular offer does not preclude it from exercising its RoFR on a subsequent offer. This means that BKC retains the option to match any future offers made to the asset or interest in question, regardless of its previous decision.

Conclusion: Therefore, BKC's inaction on one offer does not invalidate its potential to respond to and accept a future offer, maintaining the integrity of the RoFR provision.",0.875,1.0,0.5,1.0,1.0,good,Accurate. Correctly reads the non-waiver effect: declining one offer does not exhaust the ROFR as to later offers.
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement__Renewal Term_0,low_rubric_score,Renewal Term,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,"This Agreement shall continue in effect for two years from the date hereof, and thereafter shall continue automatically for successive annual periods, provided that such continuance is specifically approved at least annually by (A) the vote of the Board, or by the vote of a majority of the outstanding voting securities of the Fund and (B) the vote of a majority of the Fund's directors who are not parties to this Agreement or ""interested persons"" (as such term is defined in Section 2(a)(19) of the Investment Fund Act) of any such party, in accordance with the requirements of the Investment Fund Act.","Issue: The conditions under which the agreement will renew automatically and the requirement for annual approval.

Rule: Under standard contract law, automatic renewal clauses must be clearly defined and subject to periodic review or approval by the relevant parties. The renewal must be mutually agreeable and cannot be unilaterally imposed without proper notice and consent.

Application: The clause requires that the agreement continue automatically for successive annual periods, but this continuance is subject to specific conditions. These conditions include the approval of the Board, a majority of the outstanding voting securities of the Fund, and a majority of the Fund's directors who are not parties to the agreement or ""interested persons."" This ensures that the renewal is not unilaterally imposed and that it aligns with the interests of the Fund's shareholders and non-interested directors.

Conclusion: The clause effectively balances the automatic renewal aspect with the need for periodic approval, ensuring that the agreement's continuation is not solely at the discretion of one party and is aligned with the interests of the Fund and its shareholders.",0.75,1.0,0.0,1.0,1.0,good,Accurate. Correctly conditions the automatic renewal on the two annual approval requirements including the disinterested-director vote.
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT__Anti-Assignment_1,random,Anti-Assignment,MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT,"Accordingly, Franchisee agrees no Transfer shall be made without Pretzel Time's prior written approval.","Issue: The legality and enforceability of a clause prohibiting the assignment of a franchise agreement without the franchisor's prior written approval.

Rule: Under contract law, parties can agree to restrict or prohibit the assignment of their rights and obligations. Such restrictions are enforceable as long as they are not unconscionable, overly broad, or violate public policy.

Application: The clause in question restricts the Franchisee's ability to Transfer their rights under the agreement without Pretzel Time's prior written approval. This restriction is clear and unambiguous, aligning with the general principle that parties can agree to control the assignment of their rights. However, the clause does not specify what constitutes a Transfer, which could lead to disputes over the interpretation of the term.

Conclusion: The clause is enforceable as it is a valid restriction on the assignment of rights under the franchise agreement. The Franchisee must obtain Pretzel Time's prior written approval before any Transfer, and the agreement should be clear about the definition of a Transfer to avoid ambiguity.",0.972,1.0,0.889,1.0,1.0,good,"Accurate, and correctly notes that 'Transfer' is undefined within the excerpt (it is defined elsewhere in the contract, which is a fragment artifact rather than a drafting defect)."
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1__Audit Rights_18,random,Audit Rights,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,Such audits may be on a rotating site basis where operations and procedures of Supplier services provided to Bank of America are in multiple locations in order to confirm that Supplier is in compliance in all aspects of the Agreement Supplier shall provide Bank of America with a copy of each report prepared in connection with each such audit within thirty (30) calendar days after it receives such report.,"Issue: The scope and requirements of the audit rights and reporting obligations in the contract.

Rule: Contracts often include provisions for audits to ensure compliance with the terms of the agreement. These provisions typically outline the frequency, scope, and reporting requirements for the audit findings. The supplier is required to provide the auditor with access to multiple locations and to report on any audit findings.

Application: The clause mandates that the audits can be conducted at rotating sites where the supplier provides services to Bank of America. The supplier must provide Bank of America with a copy of each audit report within thirty calendar days of receiving the report. This ensures that Bank of America is informed of any issues or findings from the audits promptly.

Conclusion: The clause effectively establishes a mechanism for Bank of America to monitor the supplier’s compliance with the agreement through regular audits and requires the supplier to promptly share audit reports, thereby ensuring transparency and accountability.",1.0,1.0,1.0,1.0,1.0,good,Accurate on rotating-site audits and the 30-day report delivery obligation.
ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT__Minimum Commitment_1,low_rubric_score,Minimum Commitment,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,"In each and every calendar year of this Agreement, CONSULTANT shall achieve a satisfactory record of play in a minimum of [* ****] professional golf association events on the SPGA and/or PGA tour (which shall include both the PGA and SPGA Tour Skins Games).","Issue: The enforceability of a minimum commitment clause in a contract.

Rule: Minimum commitment clauses are enforceable as long as they are clear, specific, and do not impose an unconscionable burden on the party obligated to perform.

Application: The clause requires the CONSULTANT to participate in a minimum number of professional golf association events on the SPGA and PGA tours. The clause is specific regarding the number of events and the tours included. However, it does not specify what constitutes a ""satisfactory record of play,"" which could lead to disputes over performance evaluation.

Conclusion: The clause is generally enforceable but may be subject to interpretation regarding the definition of a ""satisfactory record of play.""",0.75,1.0,0.0,1.0,1.0,good,"Accurate, and correctly identifies 'satisfactory record of play' as the undefined term that would drive any dispute."
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Audit Rights_0,low_rubric_score,Audit Rights,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),Bioamber shall have the right to audit Cargill time sheets from time to time.,"Issue: The scope and enforceability of audit rights in a contract.

Rule: Contract law generally recognizes the enforceability of audit rights, provided they are clearly defined and do not violate public policy or statutory restrictions. Such rights must be specific regarding the scope, frequency, and conditions under which audits can be conducted.

Application: The clause grants Bioamber the right to audit Cargill's time sheets ""from time to time,"" which is a vague and potentially broad scope. This could be interpreted as allowing audits at any point during the contract term, without specific notice or justification, which may be overly permissive. The lack of defined frequency or conditions for the audits could lead to disputes over the legitimacy and scope of any audit.

Conclusion: The clause is enforceable but may be subject to interpretation regarding the extent of Bioamber's audit rights. Clarification on the frequency and conditions of audits would help to avoid potential disputes.",0.75,1.0,0.0,1.0,1.0,good,Accurate. Correctly flags 'from time to time' as an undefined frequency and notes the practical consequence.
LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT__Insurance_0,random,Insurance,LOYALTYPOINTINC_11_16_2004-EX-10.2-RESELLER AGREEMENT,"Schoolpop shall, during the term of this Agreement, at its own                   cost and expense, procure with sound and reputable insurers,                   the following insurance coverage's: (i) Workers' Compensation                   Insurance in an amount not less than the statutory limits for                   the state(s), country or province in where the services are to                   be performed; (ii) Employer's Liability Insurance not less                   than (a) $100,000 per occurrence, and not less than $100,000                   aggregate limit of liability per policy year for disease,                   including death at any time resulting therefrom, not caused by                   accident or (b) such amount as required by law, whichever is                   higher; (iii) Comprehensive General Liability Insurance,                   including blanket extended coverage against all hazards,                   including personal injury and death resulting therefrom, for                   not less than $1,000,000 per occurrence, and not less than                   $2,000,000 aggregate; (iv) Automobile Liability insurance                   against liability arising from the maintenance or use of all                   owned, non-owned and hired automobiles and trucks used to                   provide services, with (a) a minimum limit of liability for                   bodily injury of $1,000,000 in the aggregate, and with a                   minimum limit of liability for property damage of $500,000 per                   accident, or (b) amount as required by law, whichever is                   higher; and (v) fidelity or crime policy of not less than                   $3,000,000 in the aggregate against misappropriation and/or                   destruction of Cards.","Issue: Obligations of Schoolpop under the insurance clause.

Rule: Under contract law, a party must perform their contractual obligations in a manner that is reasonable and in compliance with the terms agreed upon. For insurance clauses, this includes ensuring that the required coverage is obtained and maintained throughout the term of the agreement.

Application: Schoolpop is required to obtain and maintain specific types of insurance coverage at its own cost and expense. These include Workers' Compensation, Employer's Liability, Comprehensive General Liability, Automobile Liability, and Fidelity or Crime policies. The coverage amounts must meet or exceed statutory limits and specific monetary requirements as outlined in the clause.

Conclusion: Schoolpop must ensure that all the specified insurance policies are in place and that they meet the required coverage limits during the term of the agreement. Failure to do so would constitute a breach of contract.",1.0,1.0,1.0,1.0,1.0,good,Accurate. Faithfully enumerates all five coverage types and the floor amounts without inventing any.
